Season,Date,Left,Joined,MV,Fee,player
12/13,"Jul 1, 2012",FC Zürich U16,FC Zürich U17,-,-,Nico Elvedi
20/21,"Sep 12, 2020",E. Frankfurt,AC Milan,€32.00m,€5.00m,Ante Rebic
20/21,"Sep 11, 2020",AC Milan,E. Frankfurt,€32.00m,End of loan,Ante Rebic
19/20,"Sep 2, 2019",E. Frankfurt,AC Milan,€40.00m,loan transfer,Ante Rebic
18/19,"Jul 1, 2018",Fiorentina,E. Frankfurt,€10.00m,€4.50m,Ante Rebic
17/18,"Jun 30, 2018",E. Frankfurt,Fiorentina,€10.00m,End of loan,Ante Rebic
17/18,"Aug 31, 2017",Fiorentina,E. Frankfurt,€2.50m,loan transfer,Ante Rebic
16/17,"Jun 30, 2017",E. Frankfurt,Fiorentina,€2.50m,End of loan,Ante Rebic
16/17,"Jul 5, 2016",Fiorentina,E. Frankfurt,€1.00m,loan transfer,Ante Rebic
15/16,"Jun 30, 2016",Hellas Verona,Fiorentina,€1.00m,End of loan,Ante Rebic
15/16,"Jan 14, 2016",Fiorentina,Hellas Verona,€1.00m,loan transfer,Ante Rebic
14/15,"Jun 30, 2015",RB Leipzig,Fiorentina,€2.50m,End of loan,Ante Rebic
14/15,"Aug 3, 2014",Fiorentina,RB Leipzig,€4.00m,Loan fee:€600Th.,Ante Rebic
13/14,"Aug 28, 2013",RNK Split,Fiorentina,€1.00m,€4.50m,Ante Rebic
11/12,"Jul 1, 2011",RNK Split U19,RNK Split,-,-,Ante Rebic
10/11,"Aug 13, 2010",NK Imotski U17,RNK Split U19,-,free transfer,Ante Rebic
08/09,"Aug 25, 2008",NK Vinjani,NK Imotski U17,-,free transfer,Ante Rebic
19/20,"Jul 1, 2019",Paris SG,Juventus,€35.00m,free transfer,Adrien Rabiot
12/13,"Jun 30, 2013",Toulouse,Paris SG,€2.50m,End of loan,Adrien Rabiot
12/13,"Jan 31, 2013",Paris SG,Toulouse,€1.50m,loan transfer,Adrien Rabiot
12/13,"Jul 1, 2012",Paris SG U19,Paris SG,-,-,Adrien Rabiot
11/12,"Jul 1, 2011",Paris SG U17,Paris SG U19,-,-,Adrien Rabiot
10/11,"Jul 1, 2010",Pau FC U19,Paris SG U17,-,free transfer,Adrien Rabiot
09/10,"Jul 1, 2009",Créteil Youth,Pau FC U19,-,free transfer,Adrien Rabiot
08/09,"Jan 1, 2009",Man City Youth,Créteil Youth,-,free transfer,Adrien Rabiot
08/09,"Jul 1, 2008",Créteil Youth,Man City Youth,-,free transfer,Adrien Rabiot
19/20,"Jul 1, 2019",RSC Anderlecht,Wolves,€18.00m,€13.80m,Leander Dendoncker
18/19,"Jun 30, 2019",Wolves,RSC Anderlecht,€18.00m,End of loan,Leander Dendoncker
18/19,"Aug 9, 2018",RSC Anderlecht,Wolves,€17.00m,Loan fee:€1.50m,Leander Dendoncker
14/15,"Jul 1, 2014",Anderlecht U21,RSC Anderlecht,€500Th.,-,Leander Dendoncker
